Category,Counts,Date,WeekNo
Region_75-84,1616,2016-02-19,59
Region_75-84,1650,2016-02-26,60
Region_75-84,1709,2016-03-04,61
Region_75-84,1713,2016-03-11,62
Region_75-84,1596,2016-03-18,63
Region_75-84,1437,2016-03-25,64
Region_75-84,1550,2016-04-01,65
Region_75-84,1738,2016-04-08,66
Region_75-84,1688,2016-04-15,67
Region_75-84,1613,2016-04-22,68
Region_75-84,1534,2016-04-29,69
Region_75-84,1410,2016-05-06,70
Region_75-84,1563,2016-05-13,71
Region_75-84,1532,2016-05-20,72
Region_75-84,1441,2016-05-27,73
Region_75-84,1188,2016-06-03,74
Region_75-84,1535,2016-06-10,75
Region_75-84,1463,2016-06-17,76
Region_75-84,1443,2016-06-24,77
Region_75-84,1369,2016-07-01,78
Region_75-84,1359,2016-07-08,79
Region_75-84,1395,2016-07-15,80
Region_75-84,1459,2016-07-22,81
Region_75-84,1433,2016-07-29,82
Region_75-84,1416,2016-08-05,83
Region_75-84,1364,2016-08-12,84
Region_75-84,1383,2016-08-19,85
Region_75-84,1480,2016-08-26,86
Region_75-84,1204,2016-09-02,87
Region_75-84,1398,2016-09-09,88
Region_75-84,1397,2016-09-16,89
Region_75-84,1404,2016-09-23,90
Region_75-84,1327,2016-09-30,91
Region_75-84,1385,2016-10-07,92
Region_75-84,1444,2016-10-14,93
Region_75-84,1485,2016-10-21,94
Region_75-84,1494,2016-10-28,95
Region_75-84,1451,2016-11-04,96
Region_75-84,1576,2016-11-11,97
Region_75-84,1566,2016-11-18,98
Region_75-84,1621,2016-11-25,99
Region_75-84,1557,2016-12-02,100
Region_75-84,1676,2016-12-09,101
Region_75-84,1500,2016-12-16,102
Region_75-84,1682,2016-12-23,103
Region_75-84,1229,2016-12-30,104
Region_85+,1982,2016-01-08,53
Region_85+,1656,2016-01-15,54
Region_85+,1750,2016-01-22,55
Region_85+,1754,2016-01-29,56
Region_85+,1655,2016-02-05,57
Region_85+,1666,2016-02-12,58
Region_85+,1577,2016-02-19,59
Region_85+,1707,2016-02-26,60
Region_85+,1745,2016-03-04,61
Region_85+,1711,2016-03-11,62
Region_85+,1705,2016-03-18,63
Region_85+,1482,2016-03-25,64
Region_85+,1583,2016-04-01,65
Region_85+,1743,2016-04-08,66
Region_85+,1789,2016-04-15,67
Region_85+,1647,2016-04-22,68
Region_85+,1548,2016-04-29,69
Region_85+,1367,2016-05-06,70
Region_85+,1673,2016-05-13,71
Region_85+,1464,2016-05-20,72
Region_85+,1417,2016-05-27,73
Region_85+,1180,2016-06-03,74
Region_85+,1466,2016-06-10,75
Region_85+,1367,2016-06-17,76
Region_85+,1454,2016-06-24,77
Region_85+,1280,2016-07-01,78
Region_85+,1334,2016-07-08,79
Region_85+,1336,2016-07-15,80
Region_85+,1414,2016-07-22,81
Region_85+,1389,2016-07-29,82
Region_85+,1302,2016-08-05,83
Region_85+,1288,2016-08-12,84
Region_85+,1324,2016-08-19,85
Region_85+,1395,2016-08-26,86
Region_85+,1196,2016-09-02,87
Region_85+,1345,2016-09-09,88
Region_85+,1338,2016-09-16,89
Region_85+,1251,2016-09-23,90
Region_85+,1350,2016-09-30,91
Region_85+,1381,2016-10-07,92
Region_85+,1508,2016-10-14,93
Region_85+,1488,2016-10-21,94
Region_85+,1472,2016-10-28,95
Region_85+,1598,2016-11-04,96
Region_85+,1565,2016-11-11,97
Region_85+,1730,2016-11-18,98
Region_85+,1616,2016-11-25,99
Region_85+,1574,2016-12-02,100
Region_85+,1738,2016-12-09,101
Region_85+,1595,2016-12-16,102
Region_85+,1796,2016-12-23,103
Region_85+,1288,2016-12-30,104
Region_Females 5,NA,2016-01-08,1
Region_Females 5,NA,2016-01-15,2
Region_Females 5,NA,2016-01-22,3
Region_Females 5,NA,2016-01-29,4
Region_Females 5,NA,2016-02-05,5
Region_Females 5,NA,2016-02-12,6
Region_Females 5,NA,2016-02-19,7
Region_Females 5,NA,2016-02-26,8
Region_Females 5,NA,2016-03-04,9
Region_Females 5,NA,2016-03-11,10
Region_Females 5,NA,2016-03-18,11
Region_Females 5,NA,2016-03-25,12
Region_Females 5,NA,2016-04-01,13
Region_Females 5,NA,2016-04-08,14
Region_Females 5,NA,2016-04-15,15
Region_Females 5,NA,2016-04-22,16
Region_Females 5,NA,2016-04-29,17
Region_Females 5,NA,2016-05-06,18
Region_Females 5,NA,2016-05-13,19
Region_Females 5,NA,2016-05-20,20
Region_Females 5,NA,2016-05-27,21
Region_Females 5,NA,2016-06-03,22
Region_Females 5,NA,2016-06-10,23
Region_Females 5,NA,2016-06-17,24
Region_Females 5,NA,2016-06-24,25
Region_Females 5,NA,2016-07-01,26
Region_Females 5,NA,2016-07-08,27
Region_Females 5,NA,2016-07-15,28
Region_Females 5,NA,2016-07-22,29
Region_Females 5,NA,2016-07-29,30
Region_Females 5,NA,2016-08-05,31
Region_Females 5,NA,2016-08-12,32
Region_Females 5,NA,2016-08-19,33
Region_Females 5,NA,2016-08-26,34
Region_Females 5,NA,2016-09-02,35
Region_Females 5,NA,2016-09-09,36
Region_Females 5,NA,2016-09-16,37
Region_Females 5,NA,2016-09-23,38
Region_Females 5,NA,2016-09-30,39
Region_Females 5,NA,2016-10-07,40
Region_Females 5,NA,2016-10-14,41
Region_Females 5,NA,2016-10-21,42
Region_Females 5,NA,2016-10-28,43
Region_Females 5,NA,2016-11-04,44
Region_Females 5,NA,2016-11-11,45
Region_Females 5,NA,2016-11-18,46
Region_Females 5,NA,2016-11-25,47
Region_Females 5,NA,2016-12-02,48
Region_Females 5,NA,2016-12-09,49
Region_Females 5,NA,2016-12-16,50
Region_Females 5,NA,2016-12-23,51
Region_Females 5,NA,2016-12-30,52
Region_Under 1 year,18,2016-01-08,105
Region_Under 1 year,28,2016-01-15,106
Region_Under 1 year,18,2016-01-22,107
Region_Under 1 year,22,2016-01-29,108
Region_Under 1 year,25,2016-02-05,109
Region_Under 1 year,24,2016-02-12,110
Region_Under 1 year,25,2016-02-19,111
Region_Under 1 year,24,2016-02-26,112
Region_Under 1 year,17,2016-03-04,113
Region_Under 1 year,27,2016-03-11,114
Region_Under 1 year,24,2016-03-18,115
Region_Under 1 year,23,2016-03-25,116
Region_Under 1 year,23,2016-04-01,117
Region_Under 1 year,19,2016-04-08,118
Region_Under 1 year,31,2016-04-15,119
Region_Under 1 year,25,2016-04-22,120
Region_Under 1 year,21,2016-04-29,121
Region_Under 1 year,21,2016-05-06,122
Region_Under 1 year,13,2016-05-13,123
Region_Under 1 year,27,2016-05-20,124
Region_Under 1 year,27,2016-05-27,125
Region_Under 1 year,19,2016-06-03,126
Region_Under 1 year,30,2016-06-10,127
Region_Under 1 year,21,2016-06-17,128
Region_Under 1 year,28,2016-06-24,129
Region_Under 1 year,20,2016-07-01,130
Region_Under 1 year,19,2016-07-08,131
Region_Under 1 year,21,2016-07-15,132
Region_Under 1 year,18,2016-07-22,133
Region_Under 1 year,19,2016-07-29,134
Region_Under 1 year,27,2016-08-05,135
Region_Under 1 year,20,2016-08-12,136
Region_Under 1 year,16,2016-08-19,137
Region_Under 1 year,25,2016-08-26,138
Region_Under 1 year,22,2016-09-02,139
Region_Under 1 year,18,2016-09-09,140
Region_Under 1 year,29,2016-09-16,141
Region_Under 1 year,28,2016-09-23,142
Region_Under 1 year,31,2016-09-30,143
Region_Under 1 year,27,2016-10-07,144
Region_Under 1 year,31,2016-10-14,145
Region_Under 1 year,25,2016-10-21,146
Region_Under 1 year,33,2016-10-28,147
Region_Under 1 year,21,2016-11-04,148
Region_Under 1 year,26,2016-11-11,149
Region_Under 1 year,26,2016-11-18,150
Region_Under 1 year,22,2016-11-25,151
Region_Under 1 year,23,2016-12-02,152
Region_Under 1 year,28,2016-12-09,153
Region_Under 1 year,36,2016-12-16,154
Region_Under 1 year,26,2016-12-23,155
Region_Under 1 year,17,2016-12-30,156
Region_01-14,7,2016-01-08,105
Region_01-14,10,2016-01-15,106
Region_01-14,10,2016-01-22,107
Region_01-14,6,2016-01-29,108
Region_01-14,8,2016-02-05,109
Region_01-14,9,2016-02-12,110
Region_01-14,8,2016-02-19,111
Region_01-14,7,2016-02-26,112
Region_01-14,8,2016-03-04,113
Region_01-14,12,2016-03-11,114
Region_01-14,12,2016-03-18,115
Region_01-14,5,2016-03-25,116
Region_01-14,5,2016-04-01,117
Region_01-14,8,2016-04-08,118
Region_01-14,8,2016-04-15,119
Region_01-14,9,2016-04-22,120
Region_01-14,8,2016-04-29,121
Region_01-14,8,2016-05-06,122
Region_01-14,14,2016-05-13,123
Region_01-14,9,2016-05-20,124
Region_01-14,9,2016-05-27,125
Region_01-14,10,2016-06-03,126
Region_01-14,11,2016-06-10,127
Region_01-14,9,2016-06-17,128
Region_01-14,6,2016-06-24,129
Region_01-14,4,2016-07-01,130
Region_01-14,9,2016-07-08,131
Region_01-14,7,2016-07-15,132
Region_01-14,9,2016-07-22,133
Region_01-14,7,2016-07-29,134
Region_01-14,8,2016-08-05,135
Region_01-14,6,2016-08-12,136
Region_01-14,7,2016-08-19,137
Region_01-14,12,2016-08-26,138
Region_01-14,5,2016-09-02,139
Region_01-14,6,2016-09-09,140
Region_01-14,9,2016-09-16,141
Region_01-14,4,2016-09-23,142
Region_01-14,8,2016-09-30,143
Region_01-14,13,2016-10-07,144
Region_01-14,8,2016-10-14,145
Region_01-14,12,2016-10-21,146
Region_01-14,5,2016-10-28,147
Region_01-14,10,2016-11-04,148
Region_01-14,9,2016-11-11,149
Region_01-14,8,2016-11-18,150
Region_01-14,14,2016-11-25,151
Region_01-14,7,2016-12-02,152
Region_01-14,15,2016-12-09,153
Region_01-14,6,2016-12-16,154
Region_01-14,10,2016-12-23,155
Region_01-14,2,2016-12-30,156
Region_15-44,121,2016-01-08,105
Region_15-44,105,2016-01-15,106
Region_15-44,107,2016-01-22,107
Region_15-44,107,2016-01-29,108
Region_15-44,111,2016-02-05,109
Region_15-44,128,2016-02-12,110
Region_15-44,109,2016-02-19,111
Region_15-44,91,2016-02-26,112
Region_15-44,106,2016-03-04,113
Region_15-44,101,2016-03-11,114
Region_15-44,101,2016-03-18,115
Region_15-44,90,2016-03-25,116
Region_15-44,93,2016-04-01,117
Region_15-44,105,2016-04-08,118
Region_15-44,122,2016-04-15,119
Region_15-44,111,2016-04-22,120
Region_15-44,115,2016-04-29,121
Region_15-44,99,2016-05-06,122
Region_15-44,113,2016-05-13,123
Region_15-44,119,2016-05-20,124
Region_15-44,121,2016-05-27,125
Region_15-44,86,2016-06-03,126
Region_15-44,101,2016-06-10,127
Region_15-44,81,2016-06-17,128
Region_15-44,103,2016-06-24,129
Region_15-44,99,2016-07-01,130
Region_15-44,112,2016-07-08,131
Region_15-44,93,2016-07-15,132
Region_15-44,90,2016-07-22,133
Region_15-44,109,2016-07-29,134
Region_15-44,89,2016-08-05,135
Region_15-44,105,2016-08-12,136
Region_15-44,85,2016-08-19,137
Region_15-44,84,2016-08-26,138
Region_15-44,93,2016-09-02,139
Region_15-44,98,2016-09-09,140
Region_15-44,112,2016-09-16,141
Region_15-44,91,2016-09-23,142
Region_15-44,103,2016-09-30,143
Region_15-44,99,2016-10-07,144
Region_15-44,89,2016-10-14,145
Region_15-44,98,2016-10-21,146
Region_15-44,101,2016-10-28,147
Region_15-44,93,2016-11-04,148
Region_15-44,91,2016-11-11,149
Region_15-44,105,2016-11-18,150
Region_15-44,110,2016-11-25,151
Region_15-44,120,2016-12-02,152
Region_15-44,108,2016-12-09,153
Region_15-44,101,2016-12-16,154
Region_15-44,121,2016-12-23,155
Region_15-44,79,2016-12-30,156
Region_45-64,615,2016-01-08,105
Region_45-64,551,2016-01-15,106
Region_45-64,502,2016-01-22,107
Region_45-64,549,2016-01-29,108
Region_45-64,514,2016-02-05,109
Region_45-64,574,2016-02-12,110
Region_45-64,530,2016-02-19,111
Region_45-64,561,2016-02-26,112
Region_45-64,529,2016-03-04,113
Region_45-64,545,2016-03-11,114
Region_45-64,523,2016-03-18,115
Region_45-64,465,2016-03-25,116
Region_45-64,522,2016-04-01,117
Region_45-64,559,2016-04-08,118
Region_45-64,538,2016-04-15,119
Region_45-64,526,2016-04-22,120
Region_45-64,509,2016-04-29,121
Region_45-64,446,2016-05-06,122
Region_45-64,534,2016-05-13,123
Region_45-64,462,2016-05-20,124
Region_45-64,469,2016-05-27,125
Region_45-64,417,2016-06-03,126
Region_45-64,487,2016-06-10,127
Region_45-64,470,2016-06-17,128
Region_45-64,486,2016-06-24,129
Region_45-64,491,2016-07-01,130
Region_45-64,478,2016-07-08,131
Region_45-64,470,2016-07-15,132
Region_45-64,448,2016-07-22,133
Region_45-64,444,2016-07-29,134
Region_45-64,481,2016-08-05,135
Region_45-64,445,2016-08-12,136
Region_45-64,425,2016-08-19,137
Region_45-64,405,2016-08-26,138
Region_45-64,404,2016-09-02,139
Region_45-64,451,2016-09-09,140
Region_45-64,480,2016-09-16,141
Region_45-64,462,2016-09-23,142
Region_45-64,454,2016-09-30,143
Region_45-64,478,2016-10-07,144
Region_45-64,471,2016-10-14,145
Region_45-64,471,2016-10-21,146
Region_45-64,498,2016-10-28,147
Region_45-64,516,2016-11-04,148
Region_45-64,549,2016-11-11,149
Region_45-64,516,2016-11-18,150
Region_45-64,492,2016-11-25,151
Region_45-64,499,2016-12-02,152
Region_45-64,517,2016-12-09,153
Region_45-64,471,2016-12-16,154
Region_45-64,499,2016-12-23,155
Region_45-64,398,2016-12-30,156
Region_65-74,933,2016-01-08,105
Region_65-74,766,2016-01-15,106
Region_65-74,752,2016-01-22,107
Region_65-74,790,2016-01-29,108
Region_65-74,739,2016-02-05,109
Region_65-74,764,2016-02-12,110
Region_65-74,705,2016-02-19,111
Region_65-74,779,2016-02-26,112
Region_65-74,840,2016-03-04,113
Region_65-74,725,2016-03-11,114
Region_65-74,733,2016-03-18,115
Region_65-74,669,2016-03-25,116
Region_65-74,757,2016-04-01,117
Region_65-74,832,2016-04-08,118
Region_65-74,790,2016-04-15,119
Region_65-74,777,2016-04-22,120
Region_65-74,691,2016-04-29,121
Region_65-74,620,2016-05-06,122
Region_65-74,711,2016-05-13,123
Region_65-74,726,2016-05-20,124
Region_65-74,724,2016-05-27,125
Region_65-74,618,2016-06-03,126
Region_65-74,690,2016-06-10,127
Region_65-74,673,2016-06-17,128
Region_65-74,640,2016-06-24,129
Region_65-74,673,2016-07-01,130
Region_65-74,635,2016-07-08,131
Region_65-74,670,2016-07-15,132
Region_65-74,650,2016-07-22,133
Region_65-74,643,2016-07-29,134
Region_65-74,619,2016-08-05,135
Region_65-74,650,2016-08-12,136
Region_65-74,664,2016-08-19,137
Region_65-74,678,2016-08-26,138
Region_65-74,590,2016-09-02,139
Region_65-74,618,2016-09-09,140
Region_65-74,683,2016-09-16,141
Region_65-74,638,2016-09-23,142
Region_65-74,624,2016-09-30,143
Region_65-74,655,2016-10-07,144
Region_65-74,672,2016-10-14,145
Region_65-74,687,2016-10-21,146
Region_65-74,659,2016-10-28,147
Region_65-74,712,2016-11-04,148
Region_65-74,688,2016-11-11,149
Region_65-74,702,2016-11-18,150
Region_65-74,703,2016-11-25,151
Region_65-74,768,2016-12-02,152
Region_65-74,789,2016-12-09,153
Region_65-74,696,2016-12-16,154
Region_65-74,870,2016-12-23,155
Region_65-74,531,2016-12-30,156
Region_75-84,1830,2016-01-08,105
Region_75-84,1574,2016-01-15,106
Region_75-84,1593,2016-01-22,107
Region_75-84,1504,2016-01-29,108
Region_75-84,1498,2016-02-05,109
Region_75-84,1419,2016-02-12,110
Region_75-84,1366,2016-02-19,111
Region_75-84,1477,2016-02-26,112
Region_75-84,1471,2016-03-04,113
Region_75-84,1458,2016-03-11,114
Region_75-84,1474,2016-03-18,115
Region_75-84,1276,2016-03-25,116
Region_75-84,1442,2016-04-01,117
Region_75-84,1500,2016-04-08,118
Region_75-84,1478,2016-04-15,119
Region_75-84,1472,2016-04-22,120
Region_75-84,1393,2016-04-29,121
Region_75-84,1173,2016-05-06,122
Region_75-84,1431,2016-05-13,123
Region_75-84,1323,2016-05-20,124
Region_75-84,1256,2016-05-27,125
Region_75-84,1065,2016-06-03,126
Region_75-84,1340,2016-06-10,127
Region_75-84,1240,2016-06-17,128
Region_75-84,1216,2016-06-24,129
Region_75-84,1204,2016-07-01,130
Region_75-84,1208,2016-07-08,131
Region_75-84,1254,2016-07-15,132
Region_75-84,1179,2016-07-22,133
Region_75-84,1208,2016-07-29,134
Region_75-84,1172,2016-08-05,135
Region_75-84,1193,2016-08-12,136
Region_75-84,1241,2016-08-19,137
Region_75-84,1200,2016-08-26,138
Region_75-84,1029,2016-09-02,139
Region_75-84,1261,2016-09-09,140
Region_75-84,1231,2016-09-16,141
Region_75-84,1160,2016-09-23,142
Region_75-84,1179,2016-09-30,143
Region_75-84,1256,2016-10-07,144
Region_75-84,1302,2016-10-14,145
Region_75-84,1239,2016-10-21,146
Region_75-84,1306,2016-10-28,147
Region_75-84,1382,2016-11-04,148
Region_75-84,1378,2016-11-11,149
Region_75-84,1426,2016-11-18,150
Region_75-84,1441,2016-11-25,151
Region_75-84,1404,2016-12-02,152
Region_75-84,1500,2016-12-09,153
Region_75-84,1443,2016-12-16,154
Region_75-84,1488,2016-12-23,155
Region_75-84,1065,2016-12-30,156
Region_85+,3310,2016-01-08,105
Region_85+,2856,2016-01-15,106
Region_85+,2856,2016-01-22,107
Region_85+,2845,2016-01-29,108
Region_85+,2750,2016-02-05,109
Region_85+,2836,2016-02-12,110
Region_85+,2598,2016-02-19,111
Region_85+,2809,2016-02-26,112
Region_85+,2788,2016-03-04,113
Region_85+,2679,2016-03-11,114
Region_85+,2729,2016-03-18,115
Region_85+,2396,2016-03-25,116
Region_85+,2496,2016-04-01,117
Region_85+,2976,2016-04-08,118
Region_85+,2828,2016-04-15,119
Region_85+,2677,2016-04-22,120
Region_85+,2550,2016-04-29,121
Region_85+,2192,2016-05-06,122
Region_85+,2545,2016-05-13,123
Region_85+,2389,2016-05-20,124
Region_85+,2350,2016-05-27,125
Region_85+,1800,2016-06-03,126
Region_85+,2391,2016-06-10,127
Region_85+,2189,2016-06-17,128
Region_85+,2171,2016-06-24,129
Region_85+,2250,2016-07-01,130
Region_85+,2155,2016-07-08,131
Region_85+,2267,2016-07-15,132
Region_85+,2236,2016-07-22,133
Region_85+,2294,2016-07-29,134
Region_85+,2222,2016-08-05,135
Region_85+,2232,2016-08-12,136
Region_85+,2099,2016-08-19,137
Region_85+,2257,2016-08-26,138
Region_85+,1824,2016-09-02,139
Region_85+,2316,2016-09-09,140
Region_85+,2068,2016-09-16,141
Region_85+,2113,2016-09-23,142
Region_85+,2072,2016-09-30,143
Region_85+,2150,2016-10-07,144
Region_85+,2327,2016-10-14,145
Region_85+,2399,2016-10-21,146
Region_85+,2301,2016-10-28,147
Region_85+,2458,2016-11-04,148
Region_85+,2613,2016-11-11,149
Region_85+,2602,2016-11-18,150
Region_85+,2623,2016-11-25,151
Region_85+,2542,2016-12-02,152
Region_85+,2840,2016-12-09,153
Region_85+,2721,2016-12-16,154
Region_85+,2929,2016-12-23,155
Region_85+,2076,2016-12-30,156
Region_Deaths by region of usual residence 6,NA,2016-01-08,1
Region_Deaths by region of usual residence 6,NA,2016-01-15,2
Region_Deaths by region of usual residence 6,NA,2016-01-22,3
Region_Deaths by region of usual residence 6,NA,2016-01-29,4
Region_Deaths by region of usual residence 6,NA,2016-02-05,5
Region_Deaths by region of usual residence 6,NA,2016-02-12,6
Region_Deaths by region of usual residence 6,NA,2016-02-19,7
Region_Deaths by region of usual residence 6,NA,2016-02-26,8
Region_Deaths by region of usual residence 6,NA,2016-03-04,9
Region_Deaths by region of usual residence 6,NA,2016-03-11,10
Region_Deaths by region of usual residence 6,NA,2016-03-18,11
Region_Deaths by region of usual residence 6,NA,2016-03-25,12
Region_Deaths by region of usual residence 6,NA,2016-04-01,13
Region_Deaths by region of usual residence 6,NA,2016-04-08,14
Region_Deaths by region of usual residence 6,NA,2016-04-15,15
Region_Deaths by region of usual residence 6,NA,2016-04-22,16
Region_Deaths by region of usual residence 6,NA,2016-04-29,17
Region_Deaths by region of usual residence 6,NA,2016-05-06,18
Region_Deaths by region of usual residence 6,NA,2016-05-13,19
Region_Deaths by region of usual residence 6,NA,2016-05-20,20
Region_Deaths by region of usual residence 6,NA,2016-05-27,21
Region_Deaths by region of usual residence 6,NA,2016-06-03,22
Region_Deaths by region of usual residence 6,NA,2016-06-10,23
Region_Deaths by region of usual residence 6,NA,2016-06-17,24
Region_Deaths by region of usual residence 6,NA,2016-06-24,25
Region_Deaths by region of usual residence 6,NA,2016-07-01,26
Region_Deaths by region of usual residence 6,NA,2016-07-08,27
Region_Deaths by region of usual residence 6,NA,2016-07-15,28
Region_Deaths by region of usual residence 6,NA,2016-07-22,29
Region_Deaths by region of usual residence 6,NA,2016-07-29,30
Region_Deaths by region of usual residence 6,NA,2016-08-05,31
Region_Deaths by region of usual residence 6,NA,2016-08-12,32
Region_Deaths by region of usual residence 6,NA,2016-08-19,33
Region_Deaths by region of usual residence 6,NA,2016-08-26,34
Region_Deaths by region of usual residence 6,NA,2016-09-02,35
Region_Deaths by region of usual residence 6,NA,2016-09-09,36
Region_Deaths by region of usual residence 6,NA,2016-09-16,37
Region_Deaths by region of usual residence 6,NA,2016-09-23,38
Region_Deaths by region of usual residence 6,NA,2016-09-30,39
Region_Deaths by region of usual residence 6,NA,2016-10-07,40
Region_Deaths by region of usual residence 6,NA,2016-10-14,41
Region_Deaths by region of usual residence 6,NA,2016-10-21,42
Region_Deaths by region of usual residence 6,NA,2016-10-28,43
Region_Deaths by region of usual residence 6,NA,2016-11-04,44
Region_Deaths by region of usual residence 6,NA,2016-11-11,45
Region_Deaths by region of usual residence 6,NA,2016-11-18,46
Region_Deaths by region of usual residence 6,NA,2016-11-25,47
Region_Deaths by region of usual residence 6,NA,2016-12-02,48
Region_Deaths by region of usual residence 6,NA,2016-12-09,49
Region_Deaths by region of usual residence 6,NA,2016-12-16,50
Region_Deaths by region of usual residence 6,NA,2016-12-23,51
Region_Deaths by region of usual residence 6,NA,2016-12-30,52
Region_North East,705,2016-01-08,1
Region_North East,600,2016-01-15,2
Region_North East,612,2016-01-22,3
Region_North East,631,2016-01-29,4
Region_North East,620,2016-02-05,5
Region_North East,599,2016-02-12,6
Region_North East,588,2016-02-19,7
Region_North East,582,2016-02-26,8
Region_North East,582,2016-03-04,9
Region_North East,569,2016-03-11,10
Region_North East,552,2016-03-18,11
Region_North East,474,2016-03-25,12
Region_North East,578,2016-04-01,13
Region_North East,606,2016-04-08,14
Region_North East,594,2016-04-15,15
Region_North East,539,2016-04-22,16
Region_North East,571,2016-04-29,17
Region_North East,495,2016-05-06,18
Region_North East,547,2016-05-13,19
Region_North East,533,2016-05-20,20
Region_North East,484,2016-05-27,21
Region_North East,431,2016-06-03,22
Region_North East,542,2016-06-10,23
Region_North East,473,2016-06-17,24
Region_North East,528,2016-06-24,25
Region_North East,488,2016-07-01,26
Region_North East,507,2016-07-08,27
Region_North East,485,2016-07-15,28
Region_North East,538,2016-07-22,29
Region_North East,476,2016-07-29,30
Region_North East,467,2016-08-05,31
Region_North East,492,2016-08-12,32
Region_North East,476,2016-08-19,33
Region_North East,499,2016-08-26,34
Region_North East,398,2016-09-02,35
Region_North East,478,2016-09-09,36
Region_North East,491,2016-09-16,37
Region_North East,435,2016-09-23,38
Region_North East,481,2016-09-30,39
Region_North East,465,2016-10-07,40
Region_North East,520,2016-10-14,41
Region_North East,511,2016-10-21,42
Region_North East,530,2016-10-28,43
Region_North East,535,2016-11-04,44
Region_North East,546,2016-11-11,45
Region_North East,547,2016-11-18,46
Region_North East,536,2016-11-25,47
Region_North East,550,2016-12-02,48
Region_North East,589,2016-12-09,49
Region_North East,561,2016-12-16,50
Region_North East,679,2016-12-23,51
Region_North East,456,2016-12-30,52
Region_North West,1748,2016-01-08,1
Region_North West,1532,2016-01-15,2
Region_North West,1602,2016-01-22,3
Region_North West,1516,2016-01-29,4
Region_North West,1459,2016-02-05,5
Region_North West,1466,2016-02-12,6
Region_North West,1443,2016-02-19,7
Region_North West,1497,2016-02-26,8
Region_North West,1505,2016-03-04,9
Region_North West,1525,2016-03-11,10
Region_North West,1460,2016-03-18,11
Region_North West,1331,2016-03-25,12
Region_North West,1362,2016-04-01,13
Region_North West,1514,2016-04-08,14
Region_North West,1572,2016-04-15,15
Region_North West,1470,2016-04-22,16
Region_North West,1371,2016-04-29,17
Region_North West,1280,2016-05-06,18
Region_North West,1420,2016-05-13,19
Region_North West,1327,2016-05-20,20
Region_North West,1300,2016-05-27,21
Region_North West,1138,2016-06-03,22
Region_North West,1306,2016-06-10,23
Region_North West,1252,2016-06-17,24
Region_North West,1272,2016-06-24,25
Region_North West,1157,2016-07-01,26
Region_North West,1269,2016-07-08,27
Region_North West,1242,2016-07-15,28
Region_North West,1295,2016-07-22,29
Region_North West,1223,2016-07-29,30
Region_North West,1316,2016-08-05,31
Region_North West,1244,2016-08-12,32
Region_North West,1279,2016-08-19,33
Region_North West,1250,2016-08-26,34
Region_North West,1114,2016-09-02,35
Region_North West,1312,2016-09-09,36
Region_North West,1222,2016-09-16,37
Region_North West,1230,2016-09-23,38
Region_North West,1219,2016-09-30,39
Region_North West,1331,2016-10-07,40
Region_North West,1328,2016-10-14,41
Region_North West,1322,2016-10-21,42
Region_North West,1401,2016-10-28,43
Region_North West,1351,2016-11-04,44
Region_North West,1390,2016-11-11,45
Region_North West,1513,2016-11-18,46
Region_North West,1432,2016-11-25,47
Region_North West,1491,2016-12-02,48
Region_North West,1529,2016-12-09,49
Region_North West,1444,2016-12-16,50
Region_North West,1594,2016-12-23,51
Region_North West,1087,2016-12-30,52
Region_Yorkshire and The Humber,1284,2016-01-08,1
Region_Yorkshire and The Humber,1148,2016-01-15,2
Region_Yorkshire and The Humber,1119,2016-01-22,3
Region_Yorkshire and The Humber,1131,2016-01-29,4
Region_Yorkshire and The Humber,1109,2016-02-05,5
Region_Yorkshire and The Humber,1066,2016-02-12,6
Region_Yorkshire and The Humber,1083,2016-02-19,7
Region_Yorkshire and The Humber,1115,2016-02-26,8
Region_Yorkshire and The Humber,1107,2016-03-04,9
Region_Yorkshire and The Humber,1097,2016-03-11,10
Region_Yorkshire and The Humber,1102,2016-03-18,11
Region_Yorkshire and The Humber,937,2016-03-25,12
Region_Yorkshire and The Humber,968,2016-04-01,13
Region_Yorkshire and The Humber,1128,2016-04-08,14
Region_Yorkshire and The Humber,1105,2016-04-15,15
Region_Yorkshire and The Humber,1008,2016-04-22,16
Region_Yorkshire and The Humber,1014,2016-04-29,17
Region_Yorkshire and The Humber,941,2016-05-06,18
Region_Yorkshire and The Humber,1055,2016-05-13,19
Region_Yorkshire and The Humber,927,2016-05-20,20
Region_Yorkshire and The Humber,936,2016-05-27,21
Region_Yorkshire and The Humber,814,2016-06-03,22
Region_Yorkshire and The Humber,1038,2016-06-10,23
Region_Yorkshire and The Humber,923,2016-06-17,24
Region_Yorkshire and The Humber,925,2016-06-24,25
Region_Yorkshire and The Humber,936,2016-07-01,26
Region_Yorkshire and The Humber,910,2016-07-08,27
Region_Yorkshire and The Humber,948,2016-07-15,28
Region_Yorkshire and The Humber,877,2016-07-22,29
Region_Yorkshire and The Humber,910,2016-07-29,30
Region_Yorkshire and The Humber,879,2016-08-05,31
Region_Yorkshire and The Humber,886,2016-08-12,32
Region_Yorkshire and The Humber,887,2016-08-19,33
Region_Yorkshire and The Humber,860,2016-08-26,34
Region_Yorkshire and The Humber,800,2016-09-02,35
Region_Yorkshire and The Humber,942,2016-09-09,36
Region_Yorkshire and The Humber,914,2016-09-16,37
Region_Yorkshire and The Humber,890,2016-09-23,38
Region_Yorkshire and The Humber,856,2016-09-30,39
